sku,attribute_set,type,product_websites,banda,color,country_of_manufacture,description,enable_googlecheckout,has_options,manufacturer,modelo,msrp_display_actual_price_type,msrp_enabled,name,options_container,price,reffornecedor,required_options,short_description,status,tamanho,tax_class_id,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,media_position,media_is_disabled,categories,configurable_attributes,simples_skus
CMBLG00077,Camisas,simple,base,AC/DC,,Brasil,"Camisa Baby Look Acdc Angus",0,0,139,"Baby Look","Utilizar configuração","Utilizar configuração","Camisa Baby Look Acdc Angus","Bloco depois da Coluna de Informação",20,139,0,"Camisa Baby Look Acdc Angus",1,G,0,4,250,16,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,"Camisas femininas::1::1::1/Baby Look::1::1::1",,
CMCMP00216,Camisas,simple,base,AC/DC,,Brasil,"Camisa com manga Acdc Angus",0,0,139,"com manga","No Carrinho","Utilizar configuração","Camisa com manga Acdc Angus","Bloco depois da Coluna de Informação",25,139,0,"Camisa com manga Acdc Angus",1,P,0,1,250,6,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,"Camisas masculinas::1::1::1/Bandas::1::1::1",,
CMCMM00288,Camisas,simple,base,AC/DC,,Brasil,"Camisa com manga Acdc Angus",0,0,139,"com manga","No Carrinho","Utilizar configuração","Camisa com manga Acdc Angus","Bloco depois da Coluna de Informação",25,139,0,"Camisa com manga Acdc Angus",1,M,0,1,250,4,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,"Camisas masculinas::1::1::1/Bandas::1::1::1",,
CMCMG00290,Camisas,simple,base,AC/DC,,Brasil,"Camisa com manga Acdc Angus",0,0,139,"com manga","No Carrinho","Utilizar configuração","Camisa com manga Acdc Angus","Bloco depois da Coluna de Informação",25,139,0,"Camisa com manga Acdc Angus",1,G,0,1,250,5,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,"Camisas masculinas::1::1::1/Bandas::1::1::1",,
CMCMGG00212,Camisas,simple,base,AC/DC,,Brasil,"Camisa com manga Acdc Angus",0,0,139,"com manga","No Carrinho","Utilizar configuração","Camisa com manga Acdc Angus","Bloco depois da Coluna de Informação",25,139,0,"Camisa com manga Acdc Angus",1,GG,0,1,250,7,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,"Camisas masculinas::1::1::1/Bandas::1::1::1",,
CMBLG00014,Camisas,simple,base,AC/DC,,Brasil,"Camisa Baby Look Acdc Back In Black",0,0,10,"Baby Look","No Carrinho","Utilizar configuração","Camisa Baby Look Acdc Back In Black","Bloco depois da Coluna de Informação",20,10,0,"Camisa Baby Look Acdc Back In Black",1,G,0,1,250,5,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,"Camisas femininas::1::1::1/Baby Look::1::1::1",,
CMBLGG00004,Camisas,simple,base,AC/DC,,Brasil,"Camisa Baby Look Acdc Back In Black",0,0,10,"Baby Look","No Carrinho","Utilizar configuração","Camisa Baby Look Acdc Back In Black","Bloco depois da Coluna de Informação",20,10,0,"Camisa Baby Look Acdc Back In Black",1,GG,0,1,250,5,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,"Camisas femininas::1::1::1/Baby Look::1::1::1",,
CMCMPP00008,Camisas,simple,base,AC/DC,,Brasil,"Camisa com manga Acdc Back In Black",0,0,10,"com manga","No Carrinho","Utilizar configuração","Camisa com manga Acdc Back In Black","Bloco depois da Coluna de Informação",25,10,0,"Camisa com manga Acdc Back In Black",1,PP,0,1,250,9,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,"Camisas masculinas::1::1::1/Bandas::1::1::1",,
CMCMP00228,Camisas,simple,base,AC/DC,,Brasil,"Camisa com manga Acdc Back In Black",0,0,10,"com manga","No Carrinho","Utilizar configuração","Camisa com manga Acdc Back In Black","Bloco depois da Coluna de Informação",25,10,0,"Camisa com manga Acdc Back In Black",1,P,0,1,250,2,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,"Camisas masculinas::1::1::1/Bandas::1::1::1",,
CMCMM00308,Camisas,simple,base,AC/DC,,Brasil,"Camisa com manga Acdc Back In Black",0,0,10,"com manga","No Carrinho","Utilizar configuração","Camisa com manga Acdc Back In Black","Bloco depois da Coluna de Informação",25,10,0,"Camisa com manga Acdc Back In Black",1,M,0,1,250,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,"Camisas masculinas::1::1::1/Bandas::1::1::1",,
CMCMG00311,Camisas,simple,base,AC/DC,,Brasil,"Camisa com manga Acdc Back In Black",0,0,10,"com manga","No Carrinho","Utilizar configuração","Camisa com manga Acdc Back In Black","Bloco depois da Coluna de Informação",25,10,0,"Camisa com manga Acdc Back In Black",1,G,0,1,250,6,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,"Camisas masculinas::1::1::1/Bandas::1::1::1",,
CMCMGG00231,Camisas,simple,base,AC/DC,,Brasil,"Camisa com manga Acdc Back In Black",0,0,10,"com manga","No Carrinho","Utilizar configuração","Camisa com manga Acdc Back In Black","Bloco depois da Coluna de Informação",25,10,0,"Camisa com manga Acdc Back In Black",1,GG,0,1,250,13,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,"Camisas masculinas::1::1::1/Bandas::1::1::1",,
CMCMGG00113,Camisas,simple,base,AC/DC,,Brasil,"Camisa com manga Acdc Black",0,0,13,"com manga","Utilizar configuração","Utilizar configuração","Camisa com manga Acdc Black","Bloco depois da Coluna de Informação",25,13,0,"Camisa com manga Acdc Black",1,GG,0,4,250,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,"Camisas masculinas::1::1::1/Bandas::1::1::1",,
CMBLG00005,Camisas,simple,base,AC/DC,,Brasil,"Camisa Baby Look Acdc Black Ice",0,0,13,"Baby Look","Utilizar configuração","Utilizar configuração","Camisa Baby Look Acdc Black Ice","Bloco depois da Coluna de Informação",20,13,0,"Camisa Baby Look Acdc Black Ice",1,G,0,4,250,6,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,"Camisas femininas::1::1::1/Baby Look::1::1::1",,
CMCMP00177,Camisas,simple,base,AC/DC,,Brasil,"Camisa com manga Acdc Black Ice",0,0,13,"com manga","No Carrinho","Utilizar configuração","Camisa com manga Acdc Black Ice","Bloco depois da Coluna de Informação",25,13,0,"Camisa com manga Acdc Black Ice",1,P,0,1,250,9,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,"Camisas masculinas::1::1::1/Bandas::1::1::1",,
CMCMM00173,Camisas,simple,base,AC/DC,,Brasil,"Camisa com manga Acdc Black Ice",0,0,13,"com manga","No Carrinho","Utilizar configuração","Camisa com manga Acdc Black Ice","Bloco depois da Coluna de Informação",25,13,0,"Camisa com manga Acdc Black Ice",1,M,0,1,250,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,"Camisas masculinas::1::1::1/Bandas::1::1::1",,
CMCMG00171,Camisas,simple,base,AC/DC,,Brasil,"Camisa com manga Acdc Black Ice",0,0,13,"com manga","No Carrinho","Utilizar configuração","Camisa com manga Acdc Black Ice","Bloco depois da Coluna de Informação",25,13,0,"Camisa com manga Acdc Black Ice",1,G,0,1,250,11,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,"Camisas masculinas::1::1::1/Bandas::1::1::1",,
CMBLG00047,Camisas,simple,base,AC/DC,,Brasil,"Camisa Baby Look Acdc Canhao Branca",0,0,15,"Baby Look","Utilizar configuração","Utilizar configuração","Camisa Baby Look Acdc Canhao Branca","Bloco depois da Coluna de Informação",20,15,0,"Camisa Baby Look Acdc Canhao Branca",1,G,0,4,250,-8,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,"Camisas femininas::1::1::1/Baby Look::1::1::1",,
CMCMP00179,Camisas,simple,base,AC/DC,,Brasil,"Camisa com manga Acdc Canhao Branca",0,0,15,"com manga","No Carrinho","Utilizar configuração","Camisa com manga Acdc Canhao Branca","Bloco depois da Coluna de Informação",25,15,0,"Camisa com manga Acdc Canhao Branca",1,P,0,1,250,11,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,"Camisas masculinas::1::1::1/Bandas::1::1::1",,
CMCMM00175,Camisas,simple,base,AC/DC,,Brasil,"Camisa com manga Acdc Canhao Branca",0,0,15,"com manga","No Carrinho","Utilizar configuração","Camisa com manga Acdc Canhao Branca","Bloco depois da Coluna de Informação",25,15,0,"Camisa com manga Acdc Canhao Branca",1,M,0,1,250,13,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,"Camisas masculinas::1::1::1/Bandas::1::1::1",,
CMCMG00173,Camisas,simple,base,AC/DC,,Brasil,"Camisa com manga Acdc Canhao Branca",0,0,15,"com manga","No Carrinho","Utilizar configuração","Camisa com manga Acdc Canhao Branca","Bloco depois da Coluna de Informação",25,15,0,"Camisa com manga Acdc Canhao Branca",1,G,0,1,250,6,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,"Camisas masculinas::1::1::1/Bandas::1::1::1",,
CMCMGG00114,Camisas,simple,base,AC/DC,,Brasil,"Camisa com manga Acdc Canhao Branca",0,0,15,"com manga","No Carrinho","Utilizar configuração","Camisa com manga Acdc Canhao Branca","Bloco depois da Coluna de Informação",25,15,0,"Camisa com manga Acdc Canhao Branca",1,GG,0,1,250,16,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,"Camisas masculinas::1::1::1/Bandas::1::1::1",,
CMCMP00193,Camisas,simple,base,AC/DC,,Brasil,"Camisa com manga Acdc Hells Bells",0,0,296,"com manga","No Carrinho","Utilizar configuração","Camisa com manga Acdc Hells Bells","Bloco depois da Coluna de Informação",25,296,0,"Camisa com manga Acdc Hells Bells",1,P,0,1,250,5,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,"Camisas masculinas::1::1::1/Bandas::1::1::1",,
